protocol,learner,method,n_after_protocol,d_after_protocol,test_accuracy,bootstrap_spearman_global,decoy_decoy_resistance_mass,cond_reg_median
complete_case,lgbm,AIME,653,37,0.8724489795918368,0.6091354512407143,0.9498883176351424,748909420374175.1
complete_case,lgbm,HuberAIME,653,37,0.8724489795918368,0.6013513513513513,0.9999999999999987,748909420374175.1
complete_case,lgbm,HuberRidgeAIME,653,37,0.8724489795918368,0.6322765284459216,0.6648941051185319,74878.88260066975
complete_case,lgbm,RidgeAIME,653,37,0.8724489795918368,0.6375713250043534,0.6619203116646842,74891.94204248543
complete_case,mlp,AIME,653,37,0.8367346938775511,0.6247431642168485,0.9466552656103419,748909420374175.1
complete_case,mlp,HuberAIME,653,37,0.8367346938775511,0.6642958748221907,0.9466552656103419,748909420374175.1
complete_case,mlp,HuberRidgeAIME,653,37,0.8367346938775511,0.7187517500232529,0.7417735834441842,74891.94204248543
complete_case,mlp,RidgeAIME,653,37,0.8367346938775511,0.7187517500232529,0.7417735834441842,74891.94204248543
complete_case,svm,AIME,653,37,0.8010204081632653,0.4924529792950845,0.9465992357886727,748909420374175.1
complete_case,svm,HuberAIME,653,37,0.8010204081632653,0.5098387861545756,0.9999999999999994,748909420374175.1
complete_case,svm,HuberRidgeAIME,653,37,0.8010204081632653,0.6820641666454413,0.6674420799376269,74891.88593649695
complete_case,svm,RidgeAIME,653,37,0.8010204081632653,0.6793376646805459,0.6671712333511374,74891.94204248543
impute,lgbm,AIME,690,42,0.927536231884058,-0.1927990708478513,0.7961906104956697,914406021114992.2
impute,lgbm,HuberAIME,690,42,0.927536231884058,-0.05140048078221645,0.7698234870524335,912767900449196.2
impute,lgbm,HuberRidgeAIME,690,42,0.927536231884058,0.6633821331120988,0.7537696653071794,91277.58392078339
impute,lgbm,RidgeAIME,690,42,0.927536231884058,0.6642112448520773,0.7498134275767727,91441.60211571769
impute,mlp,AIME,690,42,0.7971014492753623,-0.020176646949193716,0.8111865107263633,914406021114992.2
impute,mlp,HuberAIME,690,42,0.7971014492753623,0.7988331111455435,0.7579702715306492,9144060.211149938
impute,mlp,HuberRidgeAIME,690,42,0.7971014492753623,0.8045630531298277,0.7787623989627627,91441.60211571769
impute,mlp,RidgeAIME,690,42,0.7971014492753623,0.8045630531298277,0.7787623989627627,91441.60211571769
impute,svm,AIME,690,42,0.8454106280193237,-0.18358858007184722,0.7327285646931788,914406021114992.2
impute,svm,HuberAIME,690,42,0.8454106280193237,0.6593739027091268,0.6710748651939865,9144060.211149938
impute,svm,HuberRidgeAIME,690,42,0.8454106280193237,0.6782077201833346,0.6896229915439428,91441.60211571769
impute,svm,RidgeAIME,690,42,0.8454106280193237,0.6782208111780955,0.6896229915439428,91441.60211571769
